Name																Description

AreEqual(Object, Object)											Verifies that two specified objects are equal. The assertion fails if the objects are not equal.
AreEqual(Double, Double, Double)									Verifies that two specified doubles are equal, or within the specified accuracy of each other. The assertion fails if they are not within the specified accuracy of each other.
AreEqual(Object, Object, String)									Verifies that two specified objects are equal. The assertion fails if the objects are not equal. Displays a message if the assertion fails.
AreEqual(Single, Single, Single)									Verifies that two specified singles are equal, or within the specified accuracy of each other. The assertion fails if they are not within the specified accuracy of each other.
AreEqual(String, String, Boolean)									Verifies that two specified strings are equal, ignoring case or not as specified. The assertion fails if they are not equal.
AreEqual(Double, Double, Double, String)							Verifies that two specified doubles are equal, or within the specified accuracy of each other. The assertion fails if they are not within the specified accuracy of each other. Displays a message if the assertion fails.
AreEqual(Object, Object, String, Object[])							Verifies that two specified objects are equal. The assertion fails if the objects are not equal. Displays a message if the assertion fails, and applies the specified formatting to it.
AreEqual(Single, Single, Single, String)							Verifies that two specified singles are equal, or within the specified accuracy of each other. The assertion fails if they are not within the specified accuracy of each other. Displays a message if the assertion fails.
AreEqual(String, String, Boolean, CultureInfo)						Verifies that two specified strings are equal, ignoring case or not as specified, and using the culture info specified. The assertion fails if they are not equal.
AreEqual(String, String, Boolean, String)							Verifies that two specified strings are equal, ignoring case or not as specified. The assertion fails if they are not equal. Displays a message if the assertion fails.
AreEqual(Double, Double, Double, String, Object[])					Verifies that two specified doubles are equal, or within the specified accuracy of each other. The assertion fails if they are not within the specified accuracy of each other. Displays a message if the assertion fails, and applies the specified formatting to it.
AreEqual(Single, Single, Single, String, Object[])					Verifies that two specified singles are equal, or within the specified accuracy of each other. The assertion fails if they are not within the specified accuracy of each other. Displays a message if the assertion fails, and applies the specified formatting to it.
AreEqual(String, String, Boolean, CultureInfo, String)				Verifies that two specified strings are equal, ignoring case or not as specified, and using the culture info specified. The assertion fails if they are not equal. Displays a message if the assertion fails.
AreEqual(String, String, Boolean, String, Object[])					Verifies that two specified strings are equal, ignoring case or not as specified. The assertion fails if they are not equal. Displays a message if the assertion fails, and applies the specified formatting to it.
AreEqual(String, String, Boolean, CultureInfo, String, Object[])	Verifies that two specified strings are equal, ignoring case or not as specified, and using the culture info specified. The assertion fails if they are not equal. Displays a message if the assertion fails, and applies the specified formatting to it.
AreEqual<T>(T, T)													Verifies that two specified generic type data are equal by using the equality operator. The assertion fails if they are not equal.
AreEqual<T>(T, T, String)											Verifies that two specified generic type data are equal by using the equality operator. The assertion fails if they are not equal. Displays a message if the assertion fails.
AreEqual<T>(T, T, String, Object[])									Verifies that two specified generic type data are equal by using the equality operator. The assertion fails if they are not equal. Displays a message if the assertion fails, and applies the specified formatting to it.
AreNotEqual(Object, Object)											Verifies that two specified objects are not equal. The assertion fails if the objects are equal.
AreNotEqual(Double, Double, Double)									Verifies that two specified doubles are not equal, and not within the specified accuracy of each other. The assertion fails if they are equal or within the specified accuracy of each other.
